2240
ENSG00000260370.1	AC215217.1	lincRNA
ENSG00000237297.1	AL713922.1	unprocessed_pseudogene
ENSG00000261456.5	TUBB8	protein_coding
ENSG00000232420.2	IL9RP2	unprocessed_pseudogene
ENSG00000015171.19	ZMYND11	protein_coding
ENSG00000276662.1	AL713922.2	unprocessed_pseudogene
ENSG00000212331.1	RNA5SP297	rRNA_pseudogene
ENSG00000151240.16	DIP2C	protein_coding
ENSG00000201861.1	RNA5SP298	rRNA_pseudogene
ENSG00000239822.3	RN7SL754P	misc_RNA
ENSG00000233021.2	AL669841.1	antisense
ENSG00000225140.1	AL358216.1	antisense
ENSG00000263511.1	MIR5699	miRNA
ENSG00000180525.11	PRR26	protein_coding
ENSG00000231601.1	AL157709.1	lincRNA
ENSG00000107929.14	LARP4B	protein_coding
ENSG00000229869.1	AL359878.2	antisense
ENSG00000205740.2	AL359878.1	processed_transcript
ENSG00000107937.18	GTPBP4	protein_coding
ENSG00000148377.5	IDI2	protein_coding
ENSG00000232656.7	IDI2-AS1	antisense
ENSG00000067064.11	IDI1	protein_coding
ENSG00000047056.15	WDR37	protein_coding
ENSG00000229205.3	LINC00200	lincRNA
ENSG00000185736.15	ADARB2	protein_coding
ENSG00000282390.1	AL392083.1	sense_intronic
ENSG00000233052.1	AL513304.1	sense_intronic
ENSG00000205696.4	ADARB2-AS1	antisense
ENSG00000234962.5	LINC00700	lincRNA
ENSG00000226694.2	AL441943.1	lincRNA
ENSG00000278069.1	MIR6072	miRNA
ENSG00000252998.1	RNU6-889P	snRNA
ENSG00000227912.1	AL441943.2	lincRNA
ENSG00000231326.6	AL441943.3	lincRNA
ENSG00000212156.1	RNU6-576P	snRNA
ENSG00000234556.1	LINC00701	lincRNA
ENSG00000234170.5	AC024908.1	lincRNA
ENSG00000237500.1	AL713851.2	lincRNA
ENSG00000235281.1	AL713851.1	lincRNA
ENSG00000231743.1	AC026396.1	processed_pseudogene
ENSG00000234182.1	AL731533.1	lincRNA
ENSG00000273001.1	AL731533.2	lincRNA
ENSG00000067057.16	PFKP	protein_coding
ENSG00000278419.1	AL451164.3	antisense
ENSG00000107959.15	PITRM1	protein_coding
ENSG00000237399.7	PITRM1-AS1	antisense
ENSG00000236968.1	AL451164.2	lincRNA
ENSG00000226762.2	AL451164.1	lincRNA
ENSG00000227338.1	AL139280.1	lincRNA
ENSG00000233321.1	AL357833.1	lincRNA
ENSG00000236892.1	AL357833.2	lincRNA
ENSG00000229672.2	AL450322.2	antisense
ENSG00000228353.1	AL450322.1	antisense
ENSG00000067082.14	KLF6	protein_coding
ENSG00000230573.1	AL513303.2	lincRNA
ENSG00000226005.4	AL513303.1	lincRNA
ENSG00000274809.1	MIR6078	miRNA
ENSG00000227101.1	AC025822.1	lincRNA
ENSG00000236990.1	AC025822.2	lincRNA
ENSG00000233117.2	LINC00702	lincRNA
ENSG00000224382.1	LINC00703	lincRNA
ENSG00000230096.1	AC022535.1	lincRNA
ENSG00000207124.1	RNU6-163P	snRNA
ENSG00000231298.6	MANCR	lincRNA
ENSG00000225269.2	LINC00705	lincRNA
ENSG00000165568.17	AKR1E2	protein_coding
ENSG00000151631.8	AKR1C6P	unprocessed_pseudogene
ENSG00000238840.1	RF00096	snoRNA
ENSG00000187134.13	AKR1C1	protein_coding
ENSG00000151632.17	AKR1C2	protein_coding
ENSG00000224251.6	AL391427.1	antisense
ENSG00000239148.1	RF00096	snoRNA
ENSG00000196139.13	AKR1C3	protein_coding
ENSG00000239142.1	RF00096	snoRNA
ENSG00000225418.1	AKR1C5P	unprocessed_pseudogene
ENSG00000264006.8	AKR1C8P	protein_coding
ENSG00000198610.10	AKR1C4	protein_coding
ENSG00000228291.1	ARL4AP3	processed_pseudogene
ENSG00000231039.2	AL355303.1	lincRNA
ENSG00000224034.1	LINC02561	lincRNA
ENSG00000215267.8	AKR1C7P	transcribed_unprocessed_pseudogene
ENSG00000223987.1	RPL26P28	processed_pseudogene
ENSG00000280450.1	AL683826.1	TEC
ENSG00000178473.6	UCN3	protein_coding
ENSG00000178462.11	TUBAL3	protein_coding
ENSG00000173848.18	NET1	protein_coding
ENSG00000178372.7	CALML5	protein_coding
ENSG00000205488.8	CALML3-AS1	antisense
